                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                 1.3563,                0.82428,                   1.16,                0.81327,                0.62598,                0.73831,                0.46782,                 1.2869,                0.73726,                 1.1536,              0.0080002,              0.0080002,              0.0080002
                    103,                 1.3541,                0.81969,                 1.1595,                0.81103,                0.62648,                0.73837,                0.46792,                 1.2868,                0.73722,                 1.1531,              0.0079804,              0.0079804,              0.0079804
                    104,                 1.3553,                0.81973,                 1.1603,                0.81392,                0.62414,                0.73819,                0.46803,                 1.2867,                0.73777,                  1.153,              0.0079606,              0.0079606,              0.0079606
                    105,                 1.3533,                0.81705,                 1.1566,                0.81215,                0.62562,                 0.7379,                0.46804,                 1.2872,                0.73795,                  1.153,              0.0079408,              0.0079408,              0.0079408
                    106,                 1.3509,                0.81829,                 1.1584,                0.80996,                0.62696,                0.73768,                 0.4683,                 1.2874,                0.73749,                 1.1528,               0.007921,               0.007921,               0.007921
                    107,                  1.355,                0.81936,                 1.1586,                0.80847,                0.62724,                0.73698,                0.46811,                 1.2877,                0.73718,                 1.1529,              0.0079012,              0.0079012,              0.0079012
                    108,                  1.352,                0.81756,                 1.1597,                0.80886,                0.62748,                0.73767,                0.46832,                 1.2872,                0.73716,                 1.1529,              0.0078814,              0.0078814,              0.0078814
                    109,                 1.3507,                0.81279,                 1.1549,                0.80946,                0.62734,                0.73764,                0.46771,                  1.287,                0.73683,                 1.1527,              0.0078616,              0.0078616,              0.0078616
                    110,                 1.3514,                0.81631,                 1.1567,                 0.8087,                0.62735,                0.73757,                0.46768,                 1.2869,                0.73697,                 1.1527,              0.0078418,              0.0078418,              0.0078418
                    111,                 1.3506,                0.81608,                 1.1572,                0.80833,                0.62773,                0.73712,                0.46772,                  1.287,                0.73731,                 1.1526,               0.007822,               0.007822,               0.007822
                    112,                 1.3504,                0.81546,                 1.1566,                0.80772,                0.62763,                0.73684,                0.46788,                 1.2868,                0.73732,                 1.1524,              0.0078022,              0.0078022,              0.0078022
                    113,                 1.3488,                0.81432,                 1.1568,                0.81015,                0.62695,                0.73661,                0.46777,                 1.2871,                0.73757,                 1.1524,              0.0077824,              0.0077824,              0.0077824
                    114,                 1.3489,                0.81349,                 1.1559,                0.81001,                0.62622,                0.73657,                 0.4677,                 1.2874,                0.73758,                 1.1526,              0.0077626,              0.0077626,              0.0077626
                    115,                 1.3501,                0.81434,                 1.1566,                0.81076,                0.62632,                0.73686,                0.46753,                 1.2881,                0.73752,                 1.1529,              0.0077428,              0.0077428,              0.0077428
                    116,                 1.3476,                0.81226,                 1.1552,                0.81108,                0.62646,                0.73738,                0.46754,                 1.2883,                0.73754,                 1.1528,               0.007723,               0.007723,               0.007723
                    117,                 1.3445,                0.81191,                 1.1532,                0.81047,                0.62647,                0.73752,                0.46775,                 1.2885,                 0.7372,                 1.1528,              0.0077032,              0.0077032,              0.0077032
                    118,                 1.3461,                0.81111,                 1.1547,                 0.8106,                0.62657,                0.73792,                0.46765,                 1.2884,                0.73725,                 1.1528,              0.0076834,              0.0076834,              0.0076834
                    119,                  1.345,                 0.8091,                 1.1546,                0.81195,                0.62671,                0.73794,                0.46759,                 1.2886,                0.73712,                 1.1529,              0.0076636,              0.0076636,              0.0076636
                    120,                 1.3452,                0.80979,                 1.1538,                0.81228,                0.62717,                0.73821,                 0.4675,                 1.2887,                0.73705,                 1.1528,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.3431,                0.80911,                  1.153,                0.81297,                0.62672,                 0.7381,                0.46758,                  1.289,                0.73711,                 1.1531,               0.007624,               0.007624,               0.007624
                    122,                 1.3411,                0.80813,                 1.1514,                0.81453,                0.62625,                 0.7376,                0.46744,                 1.2894,                0.73704,                 1.1534,              0.0076042,              0.0076042,              0.0076042
                    123,                 1.3426,                0.80798,                 1.1527,                0.81469,                0.62492,                 0.7377,                0.46735,                 1.2891,                0.73679,                 1.1534,              0.0075844,              0.0075844,              0.0075844
                    124,                 1.3417,                0.80785,                 1.1498,                 0.8158,                0.62471,                0.73755,                0.46728,                 1.2892,                0.73685,                 1.1535,              0.0075646,              0.0075646,              0.0075646
                    125,                  1.342,                0.80669,                 1.1506,                0.81452,                0.62523,                0.73755,                 0.4674,                 1.2895,                0.73657,                 1.1536,              0.0075448,              0.0075448,              0.0075448
                    126,                 1.3395,                0.80731,                 1.1509,                0.81355,                0.62558,                0.73732,                0.46753,                 1.2893,                 0.7362,                 1.1536,               0.007525,               0.007525,               0.007525
                    127,                  1.341,                0.80606,                 1.1507,                0.81153,                0.62713,                0.73763,                0.46731,                  1.289,                0.73619,                 1.1536,              0.0075052,              0.0075052,              0.0075052
                    128,                 1.3397,                 0.8055,                 1.1498,                0.81203,                0.62682,                0.73767,                0.46728,                 1.2892,                0.73598,                 1.1538,              0.0074854,              0.0074854,              0.0074854
                    129,                 1.3361,                0.80193,                  1.148,                0.81317,                0.62629,                0.73772,                0.46734,                 1.2891,                0.73584,                 1.1538,              0.0074656,              0.0074656,              0.0074656
                    130,                   1.34,                0.80448,                 1.1481,                0.81168,                0.62735,                0.73768,                0.46726,                 1.2893,                0.73579,                 1.1538,              0.0074458,              0.0074458,              0.0074458
                    131,                 1.3382,                0.80378,                 1.1486,                0.81026,                 0.6277,                0.73758,                0.46736,                 1.2891,                0.73577,                 1.1536,               0.007426,               0.007426,               0.007426
                    132,                 1.3379,                0.80345,                 1.1471,                0.81178,                0.62713,                0.73759,                0.46768,                 1.2894,                0.73563,                 1.1535,              0.0074062,              0.0074062,              0.0074062
                    133,                 1.3357,                0.80208,                 1.1487,                0.81141,                0.62685,                0.73752,                0.46764,                 1.2895,                0.73543,                 1.1534,              0.0073864,              0.0073864,              0.0073864
                    134,                 1.3375,                0.79951,                 1.1475,                0.81138,                0.62689,                0.73718,                0.46763,                 1.2898,                0.73546,                 1.1535,              0.0073666,              0.0073666,              0.0073666
                    135,                 1.3339,                0.79778,                 1.1446,                0.81155,                0.62635,                0.73714,                0.46771,                 1.2898,                0.73539,                 1.1537,              0.0073468,              0.0073468,              0.0073468
                    136,                 1.3356,                0.79988,                 1.1458,                0.81153,                0.62636,                0.73741,                0.46783,                 1.2903,                0.73538,                 1.1539,               0.007327,               0.007327,               0.007327
                    137,                  1.332,                0.79746,                  1.145,                0.81191,                 0.6272,                0.73754,                0.46783,                 1.2904,                0.73554,                  1.154,              0.0073072,              0.0073072,              0.0073072
                    138,                 1.3311,                0.79644,                 1.1442,                0.81271,                0.62661,                0.73776,                0.46788,                 1.2904,                0.73534,                 1.1541,              0.0072874,              0.0072874,              0.0072874
